ID_CodPesa,CodBadge,CodUtente,CodImmobile,CodSottoCategoria,CodCategoria,CodCer,Quantita,UnitaDiMisura,Data,CodIstat,idAlibiMemory,CodSubCer
36_11,336034001635,28393,33681,01,20,38,0.30,MC,2011-04-13 18:54:35,036034,NOALIBI,00
37_11,336034001635,28393,33681,01,15,02,1.00,MC,2011-04-13 18:54:40,036034,NOALIBI,01
38_11,336034001635,28393,33681,01,20,33,1.00,PZ,2011-04-13 18:54:55,036034,NOALIBI,01
39_11,336034001635,28393,33681,01,20,38,1.00,MC,2011-04-13 18:55:20,036034,NOALIBI,00
